sampling,regime,ops_total,n,both_correct,literal_only,story_only,neither,story_accuracy,literal_accuracy,literal_correct_n,literal_wrong_n,p_story_given_literal_correct,p_story_given_literal_wrong,risk_difference,phi
uniform,off,,240,38,53,14,135,0.21666666666666667,0.37916666666666665,91,149,0.4175824175824176,0.09395973154362416,0.3236226860387934,0.38112917262964824
uniform,on,,239,225,12,2,0,0.9497907949790795,0.9916317991631799,237,2,0.9493670886075949,1.0,-0.05063291139240511,-0.021121196608823823
stratified,off,1,40,34,6,0,0,0.85,1.0,40,0,0.85,,,
stratified,off,2,40,28,11,0,1,0.7,0.975,39,1,0.717948717948718,0.0,0.717948717948718,0.24459979523511427
stratified,off,3,40,26,8,5,1,0.775,0.85,34,6,0.7647058823529411,0.8333333333333334,-0.06862745098039225,-0.058682803063249966
stratified,off,4,40,20,9,3,8,0.575,0.725,29,11,0.6896551724137931,0.2727272727272727,0.41692789968652044,0.3765892518371325
stratified,off,5,40,21,10,1,8,0.55,0.775,31,9,0.6774193548387096,0.1111111111111111,0.5663082437275986,0.47534331694263005
stratified,off,6,40,8,15,3,14,0.275,0.575,23,17,0.34782608695652173,0.17647058823529413,0.1713554987212276,0.18971037498562313
stratified,off,7,40,8,13,6,13,0.35,0.525,21,19,0.38095238095238093,0.3157894736842105,0.06516290726817042,0.06822384756298847
stratified,off,8,40,5,9,2,24,0.175,0.35,14,26,0.35714285714285715,0.07692307692307693,0.2802197802197802,0.3517576004121235
stratified,on,1,40,38,2,0,0,0.95,1.0,40,0,0.95,,,
stratified,on,2,40,36,3,1,0,0.925,0.975,39,1,0.9230769230769231,1.0,-0.07692307692307687,-0.04559607525875532
stratified,on,3,40,36,3,0,1,0.9,0.975,39,1,0.9230769230769231,0.0,0.9230769230769231,0.4803844614152614
stratified,on,4,40,38,2,0,0,0.95,1.0,40,0,0.95,,,
stratified,on,5,40,38,2,0,0,0.95,1.0,40,0,0.95,,,
stratified,on,6,40,38,2,0,0,0.95,1.0,40,0,0.95,,,
stratified,on,7,40,39,1,0,0,0.975,1.0,40,0,0.975,,,
stratified,on,8,40,39,0,1,0,1.0,0.975,39,1,1.0,1.0,0.0,
